user_id,screen_name,user_image_url,followers,following
1072956197102325760,ogge_san,http://pbs.twimg.com/profile_images/1352370265179762688/txiDM5vh_normal.jpg,446,1038
1540721894,yossefoss,http://pbs.twimg.com/profile_images/1279199652051632128/YAr7piW8_normal.jpg,1130,1074
1141055561255067649,DanielLaraBass,http://pbs.twimg.com/profile_images/1141063179897909249/BtA_eMHl_normal.jpg,114,302
1186343809392807942,josanti15,http://pbs.twimg.com/profile_images/1342417999928688643/fZI4-BEl_normal.jpg,1252,1225
45125101,elianabragam,http://pbs.twimg.com/profile_images/1351117540546785281/3R3Np-Sj_normal.jpg,4406,4916
1303665444616835072,WalterRDgues,http://pbs.twimg.com/profile_images/1347855028967628801/gbK1AIv9_normal.jpg,990,1541
4928105770,CulturaDa,http://pbs.twimg.com/profile_images/1347940914694664192/ER_g6XuF_normal.jpg,7,87
476387386,lumiba12,http://pbs.twimg.com/profile_images/1283735623229210625/o80JgmHM_normal.jpg,366,1015
920407001364160512,Nemesiskk,http://pbs.twimg.com/profile_images/1234912516901396481/AOKIrneo_normal.jpg,13,120
1233815859820408832,Eric18394463,http://pbs.twimg.com/profile_images/1233816369206087680/sZAREguV_normal.jpg,8,144
4625251695,Vigilante3757,http://pbs.twimg.com/profile_images/1273680894805585924/iFAapm1C_normal.jpg,17,7
1101634020226535426,CleideJoseane,http://pbs.twimg.com/profile_images/1348802570454790150/VtE8bxYJ_normal.jpg,3431,4241
96580168,swaglex19,http://pbs.twimg.com/profile_images/1335183725345247232/UWP66IeE_normal.jpg,2753,246
1034043188397449216,degani_m,http://pbs.twimg.com/profile_images/1044676340534964224/FV_lxZBo_normal.jpg,2336,3000
1305164946897068038,Adriano34071239,http://pbs.twimg.com/profile_images/1340440639570370562/BxMklHNj_normal.jpg,361,570
759013976629915652,julia_rafaelad,http://pbs.twimg.com/profile_images/1334698094366236673/KRWd0diW_normal.jpg,787,1036
1133761757527334912,Elizabe74882200,http://pbs.twimg.com/profile_images/1133762492491026432/qo9izI-Y_normal.jpg,5,38
833805728372686849,Angelinadosul,http://pbs.twimg.com/profile_images/1080166096932667394/0GNaGmLl_normal.jpg,879,1134
1283915110365433858,AMIR61297855,http://pbs.twimg.com/profile_images/1283915324128100353/znUYecnj_normal.jpg,5241,5424
1232812541228785664,VilmaThomasCos1,http://pbs.twimg.com/profile_images/1352448254332559361/-Cgs5uAc_normal.jpg,5247,5244
1152944479818670080,Sergio64029292,http://pbs.twimg.com/profile_images/1287224782640033793/7lp22b7u_normal.jpg,245,245
90065578,pixoty100,http://pbs.twimg.com/profile_images/1176674930802475008/-nAGxO5H_normal.jpg,15,22
1101636258990833664,RittaLiana,http://pbs.twimg.com/profile_images/1263919702725865473/ZgPvNHYj_normal.jpg,2516,2580
434878482,DrLuc_Azevedo,http://pbs.twimg.com/profile_images/1299727173465632770/wC5Omq9__normal.jpg,6170,894
1142582386510770177,MariaFPatriota1,http://pbs.twimg.com/profile_images/1257462705096740866/VYXNrbz9_normal.jpg,131,59
1467981168,educardinal,http://pbs.twimg.com/profile_images/1347380254034243592/HJNFgg8V_normal.jpg,19996,1155
911452332700860417,ClauSkywalker1,http://pbs.twimg.com/profile_images/1240637351132647430/Z1LmDQBd_normal.jpg,1148,1222
1298651911571288064,LukaumSk8x22,http://pbs.twimg.com/profile_images/1354275567944802306/hOkWSHiu_normal.jpg,123,209
1273063461321351168,AncapChopper,http://pbs.twimg.com/profile_images/1344122631528849409/x9Ywy9qq_normal.jpg,362,190
1250857738923581441,conservador2022,http://pbs.twimg.com/profile_images/1348234016131084288/TyfJvcQm_normal.jpg,6855,7535
66590288,DayvsonFernands,http://pbs.twimg.com/profile_images/1346149020964691972/lpY3yqK0_normal.jpg,143,137
997284517,FigueiredoJor,http://pbs.twimg.com/profile_images/1351195001783537670/juenGodz_normal.jpg,2892,2
1254522500165316612,MauroCesarSeve1,http://pbs.twimg.com/profile_images/1254524539800899585/5QsoFa9f_normal.jpg,35,213
67010177,everaluz,http://pbs.twimg.com/profile_images/1279802934373605377/YIWgvUkZ_normal.jpg,521,1002
1149013287960494080,PoliticamenteS7,http://pbs.twimg.com/profile_images/1349410947597742080/Q9veU-ZX_normal.jpg,11,119
33043246,ronaldoschorkjr,http://pbs.twimg.com/profile_images/1239254317024055298/hOdeXxfV_normal.jpg,186,482
1222825423400325120,ROMEORA12323981,http://pbs.twimg.com/profile_images/1350105587112157186/Rr1f5na0_normal.jpg,1109,1510
1117803581258764289,Crisfarias38,http://pbs.twimg.com/profile_images/1350280025485008897/Lfgoc-yK_normal.jpg,1611,1760
1009459280351842305,Sylberman1,http://pbs.twimg.com/profile_images/1112137574963920897/lXljZdsP_normal.png,116,344
1081630147101511685,Charles84165492,http://pbs.twimg.com/profile_images/1266884278350237696/Pd8klBOp_normal.jpg,198,300
1058485518084829184,CassiaBolso38,http://pbs.twimg.com/profile_images/1353499762545340416/HC1Q4FsA_normal.jpg,4332,4382
71161870,joao_jb38,http://pbs.twimg.com/profile_images/1238276978228318209/XHpZ2eca_normal.jpg,4284,3728
908695859126259719,DeFu22,http://pbs.twimg.com/profile_images/1295797297935196163/PKkxIJjp_normal.jpg,1626,4592
32128325,rkucerasulzbach,http://pbs.twimg.com/profile_images/1114117464714035201/_XWMbtMX_normal.jpg,2759,1494
893113217064546304,RenataBressan73,http://pbs.twimg.com/profile_images/983068452884746240/lhwSxHwN_normal.jpg,325,558
2999530600,DayseBarela,http://pbs.twimg.com/profile_images/1288890536565313537/pkijDm8I_normal.jpg,8954,8860
955518312913522689,JcWolf09,http://pbs.twimg.com/profile_images/1340070811391111171/KOpGaphV_normal.jpg,209,371
1111714120112488449,EhSapu,http://pbs.twimg.com/profile_images/1336550162815180802/Fw0MMXAR_normal.jpg,175,477
279729837,paulinhonarede,http://pbs.twimg.com/profile_images/1234827328263421952/ZOisrpBw_normal.jpg,31,423
57320590,zannacaio,http://pbs.twimg.com/profile_images/988932698260561922/PnRMjsTL_normal.jpg,49,135
1000806517925470208,lucianobcaverna,http://pbs.twimg.com/profile_images/1348770636865413120/tvb3-ZSl_normal.jpg,156,631
250211662,carloslegori,http://pbs.twimg.com/profile_images/1353858148298326017/v5j2krTm_normal.jpg,734,809
1187058342784577538,andrebichosolto,http://pbs.twimg.com/profile_images/1352459243408994305/JHbiRtJG_normal.jpg,1314,1737
228120886,GeracaodeValor,http://pbs.twimg.com/profile_images/1059316620840067082/iixtW1C1_normal.jpg,515015,862
1310618882596646917,Pedro78528451,http://pbs.twimg.com/profile_images/1310619154790207495/gESPbM1D_normal.jpg,5,53
1252405530485809152,TiagoDe49232105,http://pbs.twimg.com/profile_images/1350088784080220163/Tw6jykWz_normal.jpg,1499,1541
1308908658340884488,REINNERCARLOS3,http://pbs.twimg.com/profile_images/1308976818301685761/m90BZShl_normal.jpg,7,490
1317878019189596161,dikastro1,http://pbs.twimg.com/profile_images/1349501948504977409/8N5qT3pe_normal.jpg,195,632
2824798603,Gustavo_Moura7,http://pbs.twimg.com/profile_images/1033854206774599680/LQdodrGU_normal.jpg,151,524
357030742,Biakicis,http://pbs.twimg.com/profile_images/1350130658664980487/f_Iv-N67_normal.jpg,761185,1031
48466338,tedeschijr,http://pbs.twimg.com/profile_images/1350932963056357376/Y1IDHuvF_normal.jpg,81,145
1279721226433368069,Blueblu45188082,http://pbs.twimg.com/profile_images/1312375061609959424/nQ4VTtzv_normal.jpg,18,542
1247688555402596352,oliveira060284,http://pbs.twimg.com/profile_images/1247688870520598528/8W-rzYjJ_normal.jpg,6,152
1134780882072539137,LawlietLxx,http://pbs.twimg.com/profile_images/1325932917768466432/HOFGdMoy_normal.jpg,132,27
235270442,Feemaciel,http://pbs.twimg.com/profile_images/1348959331912450049/-V9_kO2A_normal.jpg,583,532
